,Singers,Song,Musical
1,Group Song,Supercalifragilisticexpialidocious,Mary Poppins
2,Tal Frisch,Monster,Epic the Musical
3,Izabel Liebmann,Fight for Me,Heathers
4,Tamar Orbach,Popular,Wicked
5,Nettah Koplowich,Dead Mom,Beetlejuice
6,Danielle Green,She Used to Mine,Waiterss
7,Group Song,One Short Day,Wicked
8,Hadass Dubizki,Youll Be Back,Hamilton
9,Udi Doron,Lost in the Woods,Frozen 2
10,Healy Fintz,Naughty,Matilda
11,Oriya Marcus,Strangers Like Me,Tarzan
12,Elad Kimchi,30/90,Tick Tick Boom
13,Group Song,Summer Nights,Grease
14,Oren Levi,Un Poco Loco,Coco
15,Vered Klein and Inbal Feldman,What Is This Feeling,Wicked
16,Omer Dicori,Defying Gravity,Wicked
17,Yoav Mutsafy,You're Welcome,Moana
18,Omer Shaik,The Wizard and I,Wicked
19,Ori Peretz,Show Yourself,Frozen 2
20,Noa Nikomarov,Hard to Be the Bard,Something Rotten
21,Joey Bar,Dancing Through Life,Jonathan Bailey
22,Lior Zaphir,Hellfire,Hunchback of Notre Dame
23,Group Song,Prince Ali,Aladdin
24,Tair Yoavi,You’ll Be Back,Hamilton
25,Yaacov Braun,Into the Unknown,Frozen 2
26,Oshrit Gan-el,There Are Worse Things I Could Do,Grease
27,Noa Prego,Origin of Love,Headwig and the Angry Inch
28,Rachel S,Part of Your World,בת הים הקטנה
29,Mykie Wolf,The History of Wrong Guys,Kinky Boots
30,Group Song,Haus of Holbein,Six
31,Liri Liron and Noa Prego,Man or a Muppet,The Muppets (2011)
32,Hadas Fuchs,Remember That We Suffered,Crazy Ex Girlfriend
33,Illi Malachi,Dead Girl Walking,Heathers
34,Inbal Feldman,A Diagnosis,Crazy Ex-Girlfriend
35,Shaked Kedar,Friends on the Other Side,Princess and the Frog
36,Itzik Mcluf,Waving Through a Window,Dear Evan Hansen
37,Adir Assayag,Until I Hear You Sing,Love Never Dies Phantom of the Opta
38,Tom Rozen,Charybdis,Epic
39,Maya Nitzan and Shani Wahrman,Show Yourself,Frozen 2
40,Gyro Levy and Mykie Wolf,The Phantom of the Opera,The Phantom of the Opera
41,Group Song,Yorktown,Hamilton
42,Lirose Millo,Part of Your World,The Little Mermaid
43,Tomer Dror,No Good Deed,Wicked
44,מאור דהן,Seasons of Love,Rent
45,עידן זוהר,Michael in the Bathroom,Be More Chill
46,Tal Frisch,Where's the Bathroom,Crazy Ex Girlfriend
47,Udi Doron,Papa Can You Hear Me,Yentl
48,Oren Levi and Omer Dicori,I See the Light,Tangled
49,Group Song,"So Long, Farewell",The Sound of Music
50,Vered Klein,Popular,Wicked
